distance to the nearest MRT station,house price of unit area
"23.38","47.70"
"49.66","57.80"
"56.47","53.50"
"57.59","42.70"
"82.89","46.60"
"84.88","37.90"
"87.30","47.10"
"90.46","58.10"
"104.81","56.80"
"109.95","48.00"
"121.73","46.10"
"122.36","67.70"
"123.74","44.30"
"124.99","60.70"
"126.73","48.20"
"130.99","37.20"
"132.55","47.30"
"143.84","53.30"
"150.93","48.10"
"156.24","36.90"
"157.61","39.10"
"161.94","39.70"
"167.60","41.00"
"169.98","50.20"
"170.13","32.90"
"170.73","48.50"
"175.63","40.90"
"179.45","39.70"
"181.08","42.00"
"184.33","45.40"
"185.43","45.50"
"186.51","78.30"
"186.97","42.20"
"187.48","33.10"
"189.52","47.10"
"190.04","44.30"
"193.58","50.70"
"196.62","39.40"
"197.13","42.50"
"201.89","55.90"
"204.17","48.20"
"205.37","55.10"
"208.39","45.70"
"211.45","45.30"
"216.83","41.00"
"250.63","39.30"
"252.58","117.50"
"258.19","36.30"
"259.66","63.20"
"265.06","40.20"
"270.89","42.90"
"272.68","26.90"
"274.01","45.40"
"276.45","33.60"
"279.17","51.60"
"281.21","63.30"
"287.60","46.70"
"289.32","46.20"
"293.00","70.10"
"306.59","42.20"
"312.90","51.70"
"318.53","78.00"
"319.07","47.40"
"323.66","49.30"
"323.69","51.00"
"324.94","46.00"
"329.97","51.80"
"330.09","43.40"
"333.37","32.40"
"335.53","38.10"
"336.05","42.40"
"337.60","36.50"
"338.97","50.80"
"339.23","26.50"
"350.85","37.40"
"368.14","42.30"
"371.25","41.90"
"372.14","40.50"
"372.62","40.80"
"373.39","39.50"
"373.84","61.90"
"376.17","40.90"
"377.80","36.80"
"377.83","38.60"
"379.56","54.40"
"383.28","43.70"
"383.71","48.10"
"383.86","56.20"
"387.77","44.70"
"389.82","40.60"
"390.57","43.10"
"390.97","40.60"
"392.45","30.50"
"393.26","7.60"
"394.02","41.00"
"395.67","24.50"
"401.88","35.10"
"405.21","41.40"
"414.95","32.50"
"421.48","49.30"
"424.54","36.30"
"424.71","30.00"
"431.11","48.50"
"432.04","45.20"
"438.85","42.60"
"439.71","38.40"
"443.80","35.30"
"444.13","43.90"
"451.24","57.10"
"451.64","31.60"
"461.10","34.60"
"461.78","35.70"
"463.96","42.00"
"464.22","36.20"
"472.17","36.50"
"480.70","38.80"
"482.76","37.50"
"488.57","34.20"
"488.82","38.30"
"489.88","43.20"
"490.34","37.00"
"492.23","39.30"
"493.66","40.60"
"506.11","40.30"
"512.55","44.20"
"512.79","34.10"
"515.11","37.40"
"519.46","34.70"
"529.78","40.20"
"533.48","53.90"
"535.53","37.50"
"537.80","42.20"
"552.44","29.80"
"557.48","47.00"
"561.98","47.30"
"563.29","46.60"
"567.03","28.50"
"577.96","47.70"
"579.21","50.50"
"587.89","37.40"
"590.93","39.70"
"592.50","34.10"
"600.86","30.90"
"614.14","33.10"
"616.40","36.80"
"616.57","42.30"
"617.44","34.60"
"617.71","39.60"
"623.47","40.30"
"639.62","40.80"
"640.61","37.50"
"640.74","61.50"
"642.70","31.50"
"665.06","34.20"
"707.91","36.60"
"718.29","55.30"
"732.85","39.00"
"737.92","46.40"
"750.07","37.80"
"752.77","37.50"
"757.34","36.70"
"769.40","25.00"
"804.69","62.90"
"815.93","35.60"
"837.72","29.70"
"918.64","31.90"
"942.47","43.50"
"964.75","38.20"
"967.40","40.00"
"995.76","25.30"
"1009.24","20.80"
"1013.34","22.80"
"1055.07","23.10"
"1144.44","36.70"
"1146.33","16.10"
"1156.41","19.00"
"1156.78","12.80"
"1157.99","23.80"
"1159.45","13.80"
"1160.63","13.70"
"1164.84","34.30"
"1236.56","30.60"
"1264.73","18.30"
"1360.14","24.60"
"1402.02","43.20"
"1406.43","48.00"
"1414.84","26.50"
"1438.58","27.00"
"1447.29","21.50"
"1449.72","21.40"
"1455.80","27.00"
"1485.10","30.70"
"1487.87","27.00"
"1497.71","23.60"
"1554.25","31.10"
"1559.83","28.90"
"1583.72","30.60"
"1626.08","29.40"
"1643.50","24.70"
"1712.63","28.80"
"1717.19","30.50"
"1735.60","25.90"
"1756.41","27.30"
"1758.41","20.70"
"1783.18","22.10"
"1801.54","24.80"
"1805.67","31.10"
"1828.32","20.90"
"1867.23","35.60"
"1931.21","21.30"
"1935.01","22.90"
"1939.75","31.30"
"1962.63","23.50"
"1978.67","23.50"
"2077.39","33.40"
"2102.43","23.10"
"2103.56","25.60"
"2147.38","28.40"
"2175.03","32.10"
"2175.74","28.10"
"2175.88","27.70"
"2179.59","21.80"
"2180.25","28.60"
"2185.13","25.60"
"2216.61","23.90"
"2251.94","27.30"
"2261.43","29.50"
"2275.88","29.30"
